idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,MONKEY BUSH,MONKEY BUSH (WATERLOO RURAL)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,MAYANKA,AGRICULTURE ROAD MAKENI (MAKENI CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,RTI (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,MADOPOLAHUN (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,"YAKAMA, RTI (KENEMA CITY)"
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,NGEGBAI STREET (KENEMA CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,BENGUEMA,BOFLA (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,BENGUEMA,BENGUEMA (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,WATERLOO,WATERLOO VILLAGE (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,WATERLOO,BASSA TOWN (WATERLOO RURAL)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,MAKENI,TEKO ROAD (MAKENI CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,WATERLOO,GRASSFIELD (WATERLOO RURAL)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST II,MAGAZINE,KISSY ROAD (EAST II)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,MAKAMA,AZZOLINE HIGH WAY MAKENI (MAKENI CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,ROKEL,LIMBA CORNER (WATERLOO RURAL)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,FOINDU,MASALIA (KOYA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST I,KINGTOM,HENESSY STREET (WEST I)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BAKEH LOKO,MALAL,MALAL (BAKEH LOKO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BAKEH LOKO,MAGBENE,ROKON (BAKEH LOKO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BAKEH LOKO,MALAL,GBONKOH MAYEAME (BAKEH LOKO)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,GODERICH,GBENDEMBU (YORK RURAL)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,BATHPOLON,GBARAY JUNCTION (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MAMANSO,ROTHUK (MAFORKI)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAFONDA,ROTAIN (DIBIA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,WELLINGTON,LOKO TOWN (EAST III)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,JUBA,JUBA BARRACKS (WEST III)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MARAMPA,MARAMPA,KEREFAY VILLAGE (MARAMPA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MARAMPA,ROGBALLAN,MAGBAFTH (MARAMPA)
SOUTHERN,BO,BO DISTRICT,BOAMA,KEIMAYA,KPUMBU (BOAMA)
SOUTHERN,BO,BO DISTRICT,BOAMA,LOWER PATALOO,NDOGBOGOMA (BOAMA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,NYANDEYAMA (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,GBONIE STREET (KENEMA CITY)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,KAGBALA,JABAMA (KOYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,DEA,SIENGA,GBAHAMA (DEA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,ROSARR,ROBIS (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,ROSARR SECTION,ROBAREH (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,ROKEL SECTION,ROPOLON (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MAHERA,MAKABBIE (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MAHERA,ROKNOLA (KOYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MASANKA,BFRADFORD (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTONI,BRADFORD (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MONTONKOH,MOTONKOH (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MONTONKOH,MOSAYBANA (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,UPPER RIBBI,MOFAINGERE (RIBBI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,MAMAKIE,ROBIS (KAFFU BULLOM)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,YANKAI,MOCHAIL (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,YANKAI,MOKORBU (RIBBI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,KASONGHA,TOMBO BANA (KAFFU BULLOM)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOBUREH,BATH -BAI (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOBUREH,SUEN (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTARO,MOTARO (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,LOWER RIBBI,MAKONI (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOKERA,MOKERA (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,UPPER RIBBI,MAFUNGBAY (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTONI,BANDAJUMA (RIBBI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,ROSINT SECTION,ROSINT (KAFFU BULLOM)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MAWOMA,MASIAKA TOWN (KOYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,DEA,SIENGA,SIENGA (DEA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,ROPONKA,ROWAL (KOYA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,UPPER GEOMA,GEOMA JAGOR (SOWA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,KANGABAI SECTION,LOWER GEOMA (SOWA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,KANGABAI SECTION,LOWER KOMENDE (SOWA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,UPPER GEOMA,GANDORHUN (SOWA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,KANGABAI,NYANDEHUN (SOWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,LUMPA,COLE TOWN (WATERLOO RURAL)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MADINA-THAMA (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,SANDA,MATHABAY (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,SANDA,MAFARAY (KUNIKE SANDA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,WATERLOO,BETT FARM (WATERLOO RURAL)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,ROSINT SECTION,TAGRIN (KAFFU BULLOM)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,ROSINT SECTION,TARGRIN (KAFFU BULLOM)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,TONDAMBALENGA,KPETEMA FANDE (FAKUNYA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,SAFFA STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,FONIKOH (KENEMA CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTONI,MOTONKULOKO (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MASANKA,MOLAMINA (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MASANKA,MOGBOMOH (RIBBI)
