idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,FALLAY,KUNDOWAHUN (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,JOUGBA,VAAMA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,JOUGBA,KAMBAMA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,KARJEI,NYANIAHUN (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,KARJEI,MAPOIMA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,FALLAY,BEVEHUN (BARRI)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,KISSY BROOK (EAST III)
NORTH WESTERN,KARENE,KARENE DISTRICT,GBANTI,GBONKO BANA SECTION,GBONKO BANA (GBANTI)
NORTH WESTERN,KARENE,KARENE DISTRICT,GBANTI,KAYORGBO /MANEH,KAYORGBO - BANA (GBANTI)
NORTH WESTERN,KARENE,KARENE DISTRICT,GBANTI,MANGAY SECTION,GBANTI
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,ROYEAMA SECTION,ROYEAMA (KAMARANKA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,BAILEH 2,GBANGBATOKE (LOWER BANTA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,JAWIE,SOWA,DARU (JAWIE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE BARINA,MAKALI,MAKALI (KUNIKE BARINA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE BARINA,MATHONKARA  SECTION,MAKONI LINE (KUNIKE BARINA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,DASSE,OLD TOWN/KEBBI TOWN,MANO TOWN (DASSE)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKUMP,MAKUMP (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKABARIE,GBOMBANA (DIBIA)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,YEMGEMA (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,JAIAMA,BUMPEH (NIMIKORO)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BIGO,MAKEPAY (IMPERRI)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BIGO,CANNAL JUNCTION (IMPERRI)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BABOM,MORIBA TOWN IMPERI CHIEF DOM (IMPERRI)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,FILLIE STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,"FILLIE STREET, BLAMAWO SEC (KENEMA CITY)"
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,MAGBENGBEH,ROBIS MONKONI (BUYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,ROSINT,ROSINT BUYA (BUYA)
EASTERN,KONO,KONO DISTRICT,LEI,LEI,SOMA (LEI)
EASTERN,KONO,KONO DISTRICT,LEI,KUNDU,TAIBOR (LEI)
EASTERN,KENEMA,KENEMA DISTRICT,NIAWA,NIAWA,GOLAHUNWA (NIAWA)
SOUTHERN,BONTHE,BONTHE DISTRICT,KPANDA KEMO,BAKOBUTU,KOBOTU (KPANDA KEMO)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAIAFEH,NYANDEHUN (NIMIYAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,KENTHINEH,ROWAL (RIBBI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,KALANGBA,MAFORAY KOLATICK (N'GOWAHUN)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,ROYEAMA SECTION,ROYEMA (KAMARANKA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,BENGELOR,MORPORMOI (LOWER BANTA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL I,AKIMORI,LEICESTER ROAD (CENTRAL I)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAKUMP,MASSORKOH (KHOLIFA ROWALA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST I,KOSSOH TOWN,OLDFIELD STREET (EAST I)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL II,CONNAUGHT AREA,LIGHTFOOT BOSTON STREET (CENTRAL II)
SOUTHERN,BO,BO CITY,BO TOWN,BORBORKOMBO,BORBORKOMBO (BO TOWN)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,GBANGUTA STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,KOROMA STREET (KENEMA CITY)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BIGO,GBANGBAMA (IMPERRI)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,KENGEH STREET (KENEMA CITY)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST II,MAGAZINE,PATTON STREET (EAST II)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,BRIWO MOTOR (KOIDU CITY)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,ROMEYA BANA,ROYEMA BANA (KAMARANKA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,DIANG,KONDEBAIA SECTION,KONDEMBAIA (DIANG)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA YAGALA,MADINA,MADINA (WARA WARA YAGALA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,LOOKING TOWN (EAST III)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,YOUNDU (KAGBORO)
SOUTHERN,BO,BO DISTRICT,BOAMA,LOWER PATALOO,YAMANDU (BOAMA)
SOUTHERN,BO,BO DISTRICT,BOAMA,LOWER PATALOO,MBUNDORBU (BOAMA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MAYOSSOH (KHOLIFA MAMUNTHA/MAYOSSO)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,DUAWO STREET (KENEMA CITY)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAYOSSOH,MATHOROKARA (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MATHONKRA (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAYOSSOH,MASOKO (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROBINKIE (KHOLIFA MAMUNTHA/MAYOSSO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,GREEMA,MOSENGO (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,GREEMA,MOSELLA (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,GREEMA LOKO,MOYAINKAIN (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,GREEMA,MOBEAKOH (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,WALEWAHUN,KANGAHUN (KAIYAMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKUMP,MAPUTA (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKUMP,MAGBORONOR (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKUMP,MABOROGNOR (DIBIA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,WALEWAHUN,KPATEMA (KAIYAMBA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,MOSOE,KEBBIE TOWN (KAIYAMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA LOKO,KANIEYA,KAYIMBOR (SANDA LOKO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,MOBAILAY (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,LAWANA (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,MADINA (KAGBORO)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,KALANGBA,KALANGBA (N'GOWAHUN)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,BOLIMA,BOLIMA (WATERLOO RURAL)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MOBIAKAFAY (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,GAMBIA (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOYAH,MOKAINSUMANA (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,REMBEE,REMBEE (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,GIBAO SQUIRE,MMOGBANGA (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,MARTHYN (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,YOUNDU,MOKOMBO (KAGBORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,YENGEMA (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,MOTEMA (NIMIKORO)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,GBORO,GANGAMA (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,GBORO,GBANAHUN (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,GBORO,PALIMA (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,BOLLEH,SEMBEHUN (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,KARGA,LEVUMA (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,SONNIE,JENNEH (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA DISTRICT,KANDU LEPPIAMA,SONNIE,DEIMA (KANDU LEPPIAMA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,KISSY TOWN (KENEMA CITY)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST II,HILL COT,HILL COT (WEST II)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,WILBERFORCE,WILBERFORCE (WEST III)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST II,BROOKFIELDS,BROOKFIELDS (WEST II)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BIGO,MADINA (IMPERRI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,SAKUMA SECTION,MAKAIBA (KAMARANKA)
EASTERN,KENEMA,KENEMA DISTRICT,SMALL BO,SOWA,KPETEWOMA (SMALL BO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,RONIETTA (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,ROKIMBIE THREE (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,MA-FUNTHA (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,BATHBANA (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,MAKOMBO VILLAGE (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,MAGBOYO (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,ROPET (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,MAGBOSIE (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,MILE 71 (YONI MABANTA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAGBONKONIE 2,KAMABAOI (SELLA LIMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONITTA,RONITTA (YONI MABANTA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAGBONKONIE 2,KASEKEYA (SELLA LIMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,RONIETTA,BANGBUTTA (YONI MABANTA)
SOUTHERN,BO,BO CITY,BO TOWN,BO #2 EXTENSION,BO NO2 EXTENSION (BO TOWN)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,KEAPE,MOKPANGUMBA (UPPER BANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,BAIKELLEH,MOKPANDI (UPPER BANTA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,KENSAY (KOIDU CITY)
SOUTHERN,BO,BO CITY,BO TOWN,BO #2,BO NO2 (BO TOWN)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MANSONGBO LOKO,KAGBERAY (N'GOWAHUN)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MANSONGBO LOKO,MASONGBO (N'GOWAHUN)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,DASSE,MENDE SECTION,MANO DASSE (DASSE)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BIGO,MOKABA (IMPERRI)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST I,KOSSOH TOWN,KOSSOH TOWN (EAST I)
EASTERN,KONO,KONO DISTRICT,FIAMA,FIAMA,NJABGWEMA (FIAMA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL II,MAROON TOWN,WELLINGTON STREET (CENTRAL II)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,KONTA KARGBO,KONTA KARGBO (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKUMP,MATHUMU (DIBIA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,SANNOH STREET (KENEMA CITY)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,NGAIYA (NIMIKORO)
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),NYALLAY,NGALU (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),SAMAWA,MENDEWA (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),SAMAWA,PALIMA (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),JONGO,BUMA SAMIE (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),JONGO,GBAMA YANDIAMA (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),NYALLAY,MANO PENDORBU (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),NYAWA,NJALA KENDIMA (BAGBWE(BAGBE))
SOUTHERN,BO,BO DISTRICT,BAGBWE(BAGBE),NYAWA,BARLIE (BAGBWE(BAGBE))
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGEIGOMBU,BONDAYELAHUN (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGIEYEGOMBU,NGANYAHUN (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGEIGOMBU,JENNEH (KAMAJEI)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,MAFINDOR,YARDU (MAFINDOR)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGEIGOMBU,PELEWAHUN (KAMAJEI)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,JUBA,JUBA (WEST III)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MONTONKOH,MOTHAINKIL (RIBBI)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BAFINFEH,KAMADONKEYA (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BAFINFEH,MANSUDU QUIGBAYA (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BAFINFEH,TONGOMA (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,KPAKIOR (NIMIKORO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MATHAN (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MATHAM (KHOLIFA ROWALA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,PEJEH (FUTA PEJE),PEJEH EAST,KOIVA (PEJEH (FUTA PEJE))
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,PEJEH (FUTA PEJE),PEJEH WEST,BUMBEH (PEJEH (FUTA PEJE))
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,PEJEH (FUTA PEJE),PEJEH WEST,BLAMA GIYAH (PEJEH (FUTA PEJE))
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MENDE BUIMA,MENDE BUIMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MENDE BUIMA,FOBU (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,NGEIHUN,NGIEHUN (LUAWA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,BONA STREET (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,YARKONGOR (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,YAKONGOR (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,SINNAH TOWN (KOIDU CITY)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MANONKOH,KALAYA (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MANONKOH,MASANKORIE (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MANONKOH,BAMOI (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MANONKOH,MADINA LIMBA (SELLA LIMBA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,HILL STATION (KOIDU CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,SONGBO,MOMBAWA (UPPER BANTA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,SOFADU (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,SOFIDU (KOIDU CITY)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL I,BAMBARA TOWN,AMBROSE STREET (CENTRAL I)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAKUMP,ROBOL (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAKUMP,ROPOLON JUNCTION MAGBURAKA (KHOLIFA ROWALA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKABARIE,LAL-KAREFAY (DIBIA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBENDEMBU,LOHINDI,KORTUHUN (GBENDEMBU)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBENDEMBU,LOHINDI,MAGBANA (GBENDEMBU)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBENDEMBU,GBEBDEMBU,GBENDEMBU
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,RESETTLEMENT (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,SUKUDU NEW SITE (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,SAQUEE TOWN (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,SUKUDU (KOIDU CITY)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,JAWIE,SOWA,BOMBOHUN (JAWIE)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,NJALUAHUN,UPPER NYAWA,MALEMA (NJALUAHUN)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,MURRAY TOWN,MURRAY TOWN (WEST III)
NORTHERN,BOMBALI,BOMBALI DISTRICT,SAFROKO LIMBA,BINKOLO,BINKOLO (SAFROKO LIMBA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,MOKOTAWA,MISSILA MOTTOPE (LOWER BANTA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL I,AKIMORI,AKIMORI (CENTRAL I)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PETIFU,MAYOMBOR (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PATIFU,GBOMBANA (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PETIFU,GBONBANA (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PATIFU,RONOLLAH (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PATIFU,MAGBINTI (YONI MABANTA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBIN,ROGBIN (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBIN,ROKULAN (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,SANDUGU SECTION,MABAYLA (SANDA TENDARAN)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,FAKOI,FALABA (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,SONGO,GBAPPIE SONGO (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,TONDAMBALENGA,WATERLOO (FAKUNYA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER KAMA,LUNGI (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,UPPER NIAWA,SAMIE (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,UPPER NIAWA,PELEWAHUN (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,UPPER KAMA,GORDI (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,UPPER NIAWA,YENDEMA (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,UPPER KAMA,NDOMBU (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER KAMA,GBANGEIMA (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER NYAWA,MANO (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER KAMA,KPETEMA (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER KAMA,JOMBORHUN (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER NYAWA,SOGURMA (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER  KAMA,JUMBOHUN (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER NYAWA,LARGOR (JAIAMA)
SOUTHERN,BO,BO DISTRICT,JAIAMA,LOWER NYAWA,FULAWAHUN (JAIAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,BENDUMA,KENDEROMA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MOKASSIE,NYANDEHUN SOGUTIE (BAGRUWA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROSOS SECTION,ROSOS (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,MATEBOI,MATEBOI (SANDA TENDARAN)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MAWOMA,MASIAKA (KOYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,MATEBOI,MEN-THAGBA (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,MASISSAN SECTION,MATETIE (SANDA TENDARAN)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBANTI,MABANTA,MAKENI (GBANTI)
NORTH WESTERN,KARENE,KARENE DISTRICT,TAMBAKHA YOBANGIE,THALLA,SANYA (TAMBAKHA YOBANGIE)
NORTH WESTERN,KARENE,KARENE DISTRICT,TAMBAKHA YOBANGIE,THAMBAKHA,THAMBAKHA (TAMBAKHA YOBANGIE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,MAYEPOH,MAYAPOH (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,MAYEPOH,MAKELLEH (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,MAYEPOH,MAKERA KONTA (MAYEPPOH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,NGOLALA,NGIEHUN (LOWER BANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,LARGO,MOBASHIRU (LOWER BANTA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,SABBA 1,UPPER KOMENDE (SOWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,ROGBERE,ROGBERE (KOYA RURAL)
